Año ,Mes,Dia ,Hora,Velocidad ,Direccion  
2016,9,1,1,3.23,233
2016,9,1,2,3.26,244
2016,9,1,3,3.23,228
2016,9,1,4,4.18,319
2016,9,1,5,3.6,183
2016,9,1,6,3.62,204
2016,9,1,7,3.55,157
2016,9,1,8,3.83,222
2016,9,1,9,4.23,239
2016,9,1,10,3.43,246
2016,9,1,11,3.52,220
2016,9,1,12,3.77,206
2016,9,1,13,4.08,47
2016,9,1,14,3.96,322
2016,9,1,15,3.36,94
2016,9,1,16,3.6,238
2016,9,1,17,3.25,238
2016,9,1,18,3.65,243
2016,9,1,19,3.62,247
2016,9,1,20,4.15,238
2016,9,1,21,4.45,218
2016,9,1,22,4.07,221
2016,9,1,23,3.43,252
2016,9,1,24,3.7,239
2016,9,2,1,4.02,222
2016,9,2,2,3.82,218
2016,9,2,3,3.82,238
2016,9,2,4,3.23,231
2016,9,2,5,4.43,250
2016,9,2,6,3.79,339
2016,9,2,7,3.65,60
2016,9,2,8,3.76,230
2016,9,2,9,3.56,238
2016,9,2,10,3.92,211
2016,9,2,11,3.39,213
2016,9,2,12,4.43,89
2016,9,2,13,3.81,225
2016,9,2,14,2.79,235
2016,9,2,15,3.63,224
2016,9,2,16,3.57,242
2016,9,2,17,3.23,224
2016,9,2,18,2.82,208
2016,9,2,19,3.88,246
2016,9,2,20,4.78,220
2016,9,2,21,2.29,253
2016,9,2,22,1.72,38
2016,9,2,23,3.28,235
2016,9,2,24,3.26,232
2016,9,3,1,3.23,235
2016,9,3,2,3.94,260
2016,9,3,3,3.5,243
2016,9,3,4,2.84,262
2016,9,3,5,2.85,78
2016,9,3,6,2.67,270
2016,9,3,7,3.19,219
2016,9,3,8,3.4,289
2016,9,3,9,3.21,259
2016,9,3,10,3.54,230
2016,9,3,11,3.41,322
2016,9,3,12,3.62,351
2016,9,3,13,3.8,239
2016,9,3,14,3.21,267
2016,9,3,15,3.66,229
2016,9,3,16,3.21,227
2016,9,3,17,3.48,216
2016,9,3,18,3.8,255
2016,9,3,19,3.22,217
2016,9,3,20,3.68,57
2016,9,3,21,3.53,283
2016,9,3,22,3.1,257
2016,9,3,23,3.23,235
2016,9,3,24,3.23,37
2016,9,4,1,3.52,223
2016,9,4,2,3.58,20
2016,9,4,3,3.4,231
2016,9,4,4,3.89,226
2016,9,4,5,3.69,262
2016,9,4,6,3.65,19
2016,9,4,7,3.33,226
2016,9,4,8,3.3,76
2016,9,4,9,3.79,223
2016,9,4,10,2.12,204
2016,9,4,11,3.08,80
2016,9,4,12,3.06,102
2016,9,4,13,3.43,226
2016,9,4,14,3.25,224
2016,9,4,15,2.93,241
2016,9,4,16,4.16,223
2016,9,4,17,3.7,221
2016,9,4,18,3.62,83
2016,9,4,19,3.19,57
2016,9,4,20,3.27,260
2016,9,4,21,3.53,83
2016,9,4,22,3.37,233
2016,9,4,23,3.11,297
2016,9,4,24,3.33,330
2016,9,5,1,3.03,230
2016,9,5,2,2.95,249
2016,9,5,3,2.97,227
2016,9,5,4,2.72,221
2016,9,5,5,2.99,220
2016,9,5,6,3,227
2016,9,5,7,2.58,247
2016,9,5,8,2.71,46
2016,9,5,9,2.65,136
2016,9,5,10,2.55,222
2016,9,5,11,2.65,126
2016,9,5,12,2.71,233
2016,9,5,13,3.44,315
2016,9,5,14,3.23,335
2016,9,5,15,1.5,51
2016,9,5,16,1.4,346
2016,9,5,17,2.9,64
2016,9,5,18,2.31,227
2016,9,5,19,2.46,78
2016,9,5,20,3.01,227
2016,9,5,21,2.6,221
2016,9,5,22,3.01,235
2016,9,5,23,3.27,245
2016,9,5,24,3.39,231
2016,9,6,1,2.78,223
2016,9,6,2,2.76,220
2016,9,6,3,2.84,294
2016,9,6,4,2.78,61
2016,9,6,5,3.18,57
2016,9,6,6,3.06,45
2016,9,6,7,3.67,43
2016,9,6,8,3.04,233
2016,9,6,9,2.66,230
2016,9,6,10,2.86,70
2016,9,6,11,3.69,233
2016,9,6,12,2.66,312
2016,9,6,13,2.91,230
2016,9,6,14,2.34,96
2016,9,6,15,2.7,330
2016,9,6,16,2.62,67
2016,9,6,17,2.74,216
2016,9,6,18,3,254
2016,9,6,19,2.32,42
2016,9,6,20,2.6,65
2016,9,6,21,3.2,46
2016,9,6,22,2.7,74
2016,9,6,23,2.96,255
2016,9,6,24,3.22,83
2016,9,7,1,2.96,214
2016,9,7,2,3.4,68
2016,9,7,3,3.09,244
2016,9,7,4,2.72,231
2016,9,7,5,2.95,64
2016,9,7,6,3.24,68
2016,9,7,7,2.86,229
2016,9,7,8,3.26,73
2016,9,7,9,2.73,304
2016,9,7,10,2.58,57
2016,9,7,11,1.94,218
2016,9,7,12,2.39,58
2016,9,7,13,3.25,230
2016,9,7,14,2.75,79
2016,9,7,15,2.73,66
2016,9,7,16,2.87,51
2016,9,7,17,3.24,218
2016,9,7,18,2.35,59
2016,9,7,19,2.36,69
2016,9,7,20,2.35,34
2016,9,7,21,2.9,3
2016,9,7,22,2.75,40
2016,9,7,23,3.18,65
2016,9,7,24,3.06,64
2016,9,8,1,2.89,252
2016,9,8,2,2.41,53
2016,9,8,3,2.79,66
2016,9,8,4,3.63,36
2016,9,8,5,2.92,161
2016,9,8,6,2.14,233
2016,9,8,7,2.59,72
2016,9,8,8,4.78,212
2016,9,8,9,2.5,43
2016,9,8,10,2.93,62
2016,9,8,11,2.97,69
2016,9,8,12,2.98,339
2016,9,8,13,2.3,94
2016,9,8,14,2.65,62
2016,9,8,15,2.45,70
2016,9,8,16,2.88,70
2016,9,8,17,3.1,74
2016,9,8,18,3.98,63
2016,9,8,19,2.94,35
2016,9,8,20,3.16,72
2016,9,8,21,2.81,240
2016,9,8,22,2.69,239
2016,9,8,23,2.44,233
2016,9,8,24,2.77,231
2016,9,9,1,2.7,79
2016,9,9,2,3.38,80
2016,9,9,3,2.94,73
2016,9,9,4,3.53,69
2016,9,9,5,2.85,68
2016,9,9,6,2.87,79
2016,9,9,7,3.4,26
2016,9,9,8,3.84,260
